Measured_6PPDQ_ng_L,Number_Dead,Number_Total,Mortality_Rate,Group,Days_Post_Fertilization,Days_Post_Hatch
81,1,4,0.25,Clark Adult,1095,1050
61,1,4,0.25,Clark Adult,1095,1050
46,0,4,0,Clark Adult,1095,1050
32,0,4,0,Clark Adult,1095,1050
180,3,4,0.75,Clark Adult,1095,1050
120,2,4,0.5,Clark Adult,1095,1050
79,1,4,0.25,Clark Adult,1095,1050
57,0,4,0,Clark Adult,1095,1050
250,3,4,0.75,Clark Adult,1095,1050
220,3,4,0.75,Clark Adult,1095,1050
150,1,4,0.25,Clark Adult,1095,1050
120,2,4,0.5,Clark Adult,1095,1050
320,3,4,0.75,Clark Adult,1095,1050
210,3,4,0.75,Clark Adult,1095,1050
130,2,4,0.5,Clark Adult,1095,1050
63,1,4,0.25,Clark Adult,1095,1050
180,4,5,0.8,Coexposed Voights Parr,300,255
120,3,5,0.6,Coexposed Voights Parr,300,255
79,2,5,0.4,Coexposed Voights Parr,300,255
57,0,5,0,Coexposed Voights Parr,300,255
250,4,5,0.8,Coexposed Voights Parr,300,255
220,5,5,1,Coexposed Voights Parr,300,255
150,3,5,0.6,Coexposed Voights Parr,300,255
120,1,5,0.2,Coexposed Voights Parr,300,255
320,4,5,0.8,Coexposed Voights Parr,300,255
210,4,5,0.8,Coexposed Voights Parr,300,255
130,3,5,0.6,Coexposed Voights Parr,300,255
63,2,5,0.4,Coexposed Voights Parr,300,255
1600,10,10,1,Voights Fry,87,31
1600,9,10,0.9,Voights Fry,87,31
1600,9,10,0.9,Voights Fry,87,31
1600,9,10,0.9,Voights Fry,87,31
610,10,10,1,Voights Fry,87,31
610,9,10,0.9,Voights Fry,87,31
610,9,10,0.9,Voights Fry,87,31
610,10,10,1,Voights Fry,87,31
360,9,10,0.9,Voights Fry,87,31
360,8,10,0.8,Voights Fry,87,31
360,5,10,0.5,Voights Fry,87,31
360,7,10,0.7,Voights Fry,87,31
200,5,10,0.5,Voights Fry,87,31
200,7,10,0.7,Voights Fry,87,31
200,4,10,0.4,Voights Fry,87,31
200,5,10,0.5,Voights Fry,87,31
140,1,10,0.1,Voights Fry,87,31
140,0,10,0,Voights Fry,87,31
140,2,10,0.2,Voights Fry,87,31
140,1,10,0.1,Voights Fry,87,31
1250,10,10,1,Bingham Alevin,52,10
790,10,10,1,Bingham Alevin,52,10
790,8,10,0.8,Bingham Alevin,52,10
790,9,10,0.9,Bingham Alevin,52,10
790,8,10,0.8,Bingham Alevin,52,10
380,2.999999997,9,0.33,Bingham Alevin,52,10
380,1,10,0.1,Bingham Alevin,52,10
380,8,10,0.8,Bingham Alevin,52,10
380,8,10,0.8,Bingham Alevin,52,10
230,6,10,0.6,Bingham Alevin,52,10
230,5,10,0.5,Bingham Alevin,52,10
230,2,10,0.2,Bingham Alevin,52,10
230,2,10,0.2,Bingham Alevin,52,10
115,1,10,0.1,Bingham Alevin,52,10
115,0,10,0,Bingham Alevin,52,10
115,0,10,0,Bingham Alevin,52,10
115,0,10,0,Bingham Alevin,52,10
1100,4,10,0.4,Voights Alevin,67,11
1100,7,10,0.7,Voights Alevin,67,11
1100,9.999999999,11,0.91,Voights Alevin,67,11
1100,6.999999994,13,0.54,Voights Alevin,67,11
700,6,10,0.6,Voights Alevin,67,11
700,5,10,0.5,Voights Alevin,67,11
700,9.999999999,11,0.91,Voights Alevin,67,11
700,6,10,0.6,Voights Alevin,67,11
330,0,10,0,Voights Alevin,67,11
330,3,10,0.3,Voights Alevin,67,11
330,1,10,0.1,Voights Alevin,67,11
330,3,10,0.3,Voights Alevin,67,11
190,0,10,0,Voights Alevin,67,11
190,0,10,0,Voights Alevin,67,11
190,0,10,0,Voights Alevin,67,11
190,0,10,0,Voights Alevin,67,11
120,0,10,0,Voights Alevin,67,11
120,0,10,0,Voights Alevin,67,11
120,0,10,0,Voights Alevin,67,11
120,0,10,0,Voights Alevin,67,11
156,7,8,0.88,Voights Parr,342,302
113,7,8,0.88,Voights Parr,342,302
103,5,8,0.63,Voights Parr,342,302
84,5,8,0.63,Voights Parr,342,302
76,5,8,0.63,Voights Parr,342,302
66,3,8,0.38,Voights Parr,342,302
52,2,8,0.25,Voights Parr,342,302
101,7,8,0.88,Voights Parr,342,302
93,7,8,0.88,Voights Parr,342,302
82,5,8,0.63,Voights Parr,342,302
76,5,8,0.63,Voights Parr,342,302
64,4,8,0.5,Voights Parr,342,302
50,1,8,0.13,Voights Parr,342,302
53,2,8,0.25,Voights Parr,342,302
