Treatment,Replicate,Days_Post_Exposure,Days_Post_Fertilization,Outcome
6PPDQ_Dechorionated,1,3,30,1
6PPDQ_Dechorionated,1,3,30,1
6PPDQ_Dechorionated,1,12,39,1
6PPDQ_Dechorionated,1,12,39,1
6PPDQ_Dechorionated,1,12,39,1
6PPDQ_Dechorionated,1,12,39,1
6PPDQ_Dechorionated,1,17,44,0
6PPDQ_Dechorionated,1,17,44,0
6PPDQ_Dechorionated,1,17,44,0
6PPDQ_Dechorionated,1,17,44,0
6PPDQ_Dechorionated,2,11,38,1
6PPDQ_Dechorionated,2,12,39,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,2,13,40,1
6PPDQ_Dechorionated,3,12,39,1
6PPDQ_Dechorionated,3,13,40,1
6PPDQ_Dechorionated,3,13,40,1
6PPDQ_Dechorionated,3,15,42,1
6PPDQ_Dechorionated,3,17,44,0
6PPDQ_Dechorionated,3,17,44,0
6PPDQ_Dechorionated,3,17,44,0
6PPDQ_Dechorionated,3,17,44,0
6PPDQ_Dechorionated,3,17,44,0
6PPDQ_Dechorionated,3,17,44,0
6PPDQ_Intact,1,6,33,1
6PPDQ_Intact,1,12,39,1
6PPDQ_Intact,1,12,39,1
6PPDQ_Intact,1,17,44,0
6PPDQ_Intact,1,17,44,0
6PPDQ_Intact,1,17,44,0
6PPDQ_Intact,1,17,44,0
6PPDQ_Intact,1,17,44,0
6PPDQ_Intact,1,17,44,0
6PPDQ_Intact,1,17,44,0
6PPDQ_Intact,2,6,33,1
6PPDQ_Intact,2,12,39,1
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,2,17,44,0
6PPDQ_Intact,3,17,44,1
6PPDQ_Intact,3,17,44,1
6PPDQ_Intact,3,17,44,0
6PPDQ_Intact,3,17,44,0
6PPDQ_Intact,3,17,44,0
6PPDQ_Intact,3,17,44,0
6PPDQ_Intact,3,17,44,0
6PPDQ_Intact,3,17,44,0
6PPDQ_Intact,3,17,44,0
6PPDQ_Intact,3,17,44,0
Control_Dechorionated,1,13,40,1
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,1,17,44,0
Control_Dechorionated,2,10,37,1
Control_Dechorionated,2,16,43,1
Control_Dechorionated,2,17,44,0
Control_Dechorionated,2,17,44,0
Control_Dechorionated,2,17,44,0
Control_Dechorionated,2,17,44,0
Control_Dechorionated,2,17,44,0
Control_Dechorionated,2,17,44,0
Control_Dechorionated,2,17,44,0
Control_Dechorionated,2,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Dechorionated,3,17,44,0
Control_Intact,1,17,44,1
Control_Intact,1,17,44,1
Control_Intact,1,17,44,0
Control_Intact,1,17,44,0
Control_Intact,1,17,44,0
Control_Intact,1,17,44,0
Control_Intact,1,17,44,0
Control_Intact,1,17,44,0
Control_Intact,1,17,44,0
Control_Intact,1,17,44,0
Control_Intact,2,15,42,1
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,2,17,44,0
Control_Intact,3,9,36,1
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
Control_Intact,3,17,44,0
